member_casual,round_trip,day_of_week,month,year,ride_length
member,No,Wednesday,February,2021,10.53
casual,Yes,Wednesday,February,2021,24.77
member,Yes,Wednesday,February,2021,14.11
casual,No,Friday,January,2021,13.23
member,No,Friday,January,2021,8.80
casual,Yes,Friday,January,2021,22.47
member,Yes,Friday,January,2021,11.00
casual,No,Monday,January,2021,13.33
member,No,Monday,January,2021,8.80
casual,Yes,Monday,January,2021,30.95
member,Yes,Monday,January,2021,10.49
casual,No,Saturday,January,2021,17.25
member,No,Saturday,January,2021,10.43
casual,Yes,Saturday,January,2021,31.35
member,Yes,Saturday,January,2021,12.58
casual,No,Sunday,January,2021,14.60
member,No,Sunday,January,2021,9.73
casual,Yes,Sunday,January,2021,28.67
member,Yes,Sunday,January,2021,12.43
casual,No,Thursday,January,2021,11.62
member,No,Thursday,January,2021,9.28
casual,Yes,Thursday,January,2021,23.97
member,Yes,Thursday,January,2021,11.55
casual,No,Tuesday,January,2021,11.40
member,No,Tuesday,January,2021,8.68
casual,Yes,Tuesday,January,2021,22.70
member,Yes,Tuesday,January,2021,12.35
casual,No,Wednesday,January,2021,12.54
member,No,Wednesday,January,2021,8.87
casual,Yes,Wednesday,January,2021,26.58
member,Yes,Wednesday,January,2021,8.40
casual,No,Friday,March,2021,16.03
member,No,Friday,March,2021,9.79
casual,Yes,Friday,March,2021,27.25
member,Yes,Friday,March,2021,12.85
casual,No,Monday,March,2021,21.62
member,No,Monday,March,2021,10.51
casual,Yes,Monday,March,2021,38.57
member,Yes,Monday,March,2021,12.80
casual,No,Saturday,March,2021,22.72
member,No,Saturday,March,2021,12.53
casual,Yes,Saturday,March,2021,36.53
member,Yes,Saturday,March,2021,10.54
casual,No,Sunday,March,2021,23.98
member,No,Sunday,March,2021,12.88
casual,Yes,Sunday,March,2021,39.83
member,Yes,Sunday,March,2021,12.58
casual,No,Thursday,March,2021,14.02
member,No,Thursday,March,2021,9.62
casual,Yes,Thursday,March,2021,31.38
member,Yes,Thursday,March,2021,11.78
casual,No,Tuesday,March,2021,18.25
member,No,Tuesday,March,2021,10.26
casual,Yes,Tuesday,March,2021,34.92
member,Yes,Tuesday,March,2021,15.70
casual,No,Wednesday,March,2021,16.28
member,No,Wednesday,March,2021,10.17
casual,Yes,Wednesday,March,2021,33.17
member,Yes,Wednesday,March,2021,11.72
